Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DiscoverySuite,Firefox 60.0,,2018-10-01 14:39:35,2018-10-01 14:40:07,31.227s,PASSED
,,,,,,
Test Cases/WorkspaceRegression,Firefox 60.0,,2018-10-01 14:39:36,2018-10-01 14:39:55,18.377s,PASSED
openBrowser,Firefox 60.0,,2018-10-01 14:39:37,2018-10-01 14:39:44,6.726s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-01 14:39:44,2018-10-01 14:39:49,5.360s,PASSED
click,Firefox 60.0,,2018-10-01 14:39:49,2018-10-01 14:39:51,1.526s,PASSED
click,Firefox 60.0,,2018-10-01 14:39:51,2018-10-01 14:39:52,0.985s,PASSED
click,Firefox 60.0,,2018-10-01 14:39:52,2018-10-01 14:39:52,0.455s,PASSED
click,Firefox 60.0,,2018-10-01 14:39:52,2018-10-01 14:39:53,1.223s,PASSED
click,Firefox 60.0,,2018-10-01 14:39:53,2018-10-01 14:39:54,0.332s,PASSED
setText,Firefox 60.0,,2018-10-01 14:39:54,2018-10-01 14:39:54,0.163s,PASSED
click,Firefox 60.0,,2018-10-01 14:39:54,2018-10-01 14:39:54,0.290s,PASSED
verifyElementPresent,Firefox 60.0,,2018-10-01 14:39:54,2018-10-01 14:39:54,0.173s,PASSED
closeBrowser,Firefox 60.0,,2018-10-01 14:39:54,2018-10-01 14:39:55,0.226s,PASSED
,,,,,,
Test Cases/SearchFunction,Firefox 60.0,,2018-10-01 14:39:55,2018-10-01 14:40:07,12.034s,PASSED
openBrowser,Firefox 60.0,,2018-10-01 14:39:55,2018-10-01 14:39:58,3.078s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-01 14:39:58,2018-10-01 14:40:03,5.059s,PASSED
click,Firefox 60.0,,2018-10-01 14:40:03,2018-10-01 14:40:04,1.464s,PASSED
setText,Firefox 60.0,,2018-10-01 14:40:04,2018-10-01 14:40:05,0.331s,PASSED
click,Firefox 60.0,,2018-10-01 14:40:05,2018-10-01 14:40:06,1.162s,PASSED
click,Firefox 60.0,,2018-10-01 14:40:06,2018-10-01 14:40:06,0.595s,PASSED
closeBrowser,Firefox 60.0,,2018-10-01 14:40:06,2018-10-01 14:40:07,0.197s,PASSED
