Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DiscoverySuite,Chrome 69.0.3497.100,,2018-09-28 12:30:03,2018-09-28 12:30:28,25.157s,PASSED
,,,,,,
Test Cases/WorkspaceRegression,Chrome 69.0.3497.100,,2018-09-28 12:30:03,2018-09-28 12:30:18,14.378s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 12:30:04,2018-09-28 12:30:07,3.492s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-28 12:30:07,2018-09-28 12:30:12,4.807s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 12:30:12,2018-09-28 12:30:13,0.577s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 12:30:13,2018-09-28 12:30:15,2.117s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 12:30:15,2018-09-28 12:30:15,0.313s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 12:30:15,2018-09-28 12:30:15,0.162s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 12:30:15,2018-09-28 12:30:16,0.892s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 12:30:16,2018-09-28 12:30:17,0.438s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 12:30:17,2018-09-28 12:30:17,0.160s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-28 12:30:17,2018-09-28 12:30:17,0.119s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-28 12:30:17,2018-09-28 12:30:18,0.746s,PASSED
,,,,,,
Test Cases/SearchFunction,Chrome 69.0.3497.100,,2018-09-28 12:30:18,2018-09-28 12:30:28,9.975s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 12:30:18,2018-09-28 12:30:20,1.621s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-28 12:30:20,2018-09-28 12:30:24,4.078s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 12:30:24,2018-09-28 12:30:24,0.409s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 12:30:24,2018-09-28 12:30:26,1.714s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 12:30:26,2018-09-28 12:30:27,0.810s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 12:30:27,2018-09-28 12:30:27,0.407s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-28 12:30:27,2018-09-28 12:30:28,0.694s,PASSED
