Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DiscoverySuite,Firefox 60.0,,2018-10-01 14:41:09,2018-10-01 14:41:41,31.961s,PASSED
,,,,,,
Test Cases/WorkspaceRegression,Firefox 60.0,,2018-10-01 14:41:09,2018-10-01 14:41:27,17.281s,PASSED
openBrowser,Firefox 60.0,,2018-10-01 14:41:10,2018-10-01 14:41:15,5.266s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-01 14:41:15,2018-10-01 14:41:21,5.572s,PASSED
click,Firefox 60.0,,2018-10-01 14:41:21,2018-10-01 14:41:23,1.678s,PASSED
click,Firefox 60.0,,2018-10-01 14:41:23,2018-10-01 14:41:24,0.984s,PASSED
click,Firefox 60.0,,2018-10-01 14:41:24,2018-10-01 14:41:24,0.443s,PASSED
click,Firefox 60.0,,2018-10-01 14:41:24,2018-10-01 14:41:25,1.399s,PASSED
click,Firefox 60.0,,2018-10-01 14:41:25,2018-10-01 14:41:26,0.356s,PASSED
setText,Firefox 60.0,,2018-10-01 14:41:26,2018-10-01 14:41:26,0.208s,PASSED
click,Firefox 60.0,,2018-10-01 14:41:26,2018-10-01 14:41:26,0.284s,PASSED
verifyElementPresent,Firefox 60.0,,2018-10-01 14:41:26,2018-10-01 14:41:26,0.172s,PASSED
closeBrowser,Firefox 60.0,,2018-10-01 14:41:26,2018-10-01 14:41:27,0.235s,PASSED
,,,,,,
Test Cases/SearchFunction,Firefox 60.0,,2018-10-01 14:41:27,2018-10-01 14:41:41,13.959s,PASSED
openBrowser,Firefox 60.0,,2018-10-01 14:41:27,2018-10-01 14:41:30,2.927s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-01 14:41:30,2018-10-01 14:41:36,6.618s,PASSED
click,Firefox 60.0,,2018-10-01 14:41:36,2018-10-01 14:41:38,1.081s,PASSED
setText,Firefox 60.0,,2018-10-01 14:41:38,2018-10-01 14:41:39,0.995s,PASSED
click,Firefox 60.0,,2018-10-01 14:41:39,2018-10-01 14:41:40,1.256s,PASSED
click,Firefox 60.0,,2018-10-01 14:41:40,2018-10-01 14:41:40,0.651s,PASSED
closeBrowser,Firefox 60.0,,2018-10-01 14:41:40,2018-10-01 14:41:41,0.234s,PASSED
