Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DiscoverySuite,Firefox 60.0,,2018-09-28 10:30:10,2018-09-28 10:31:15,1m - 4.426s,FAILED
,,,,,,
Test Cases/WorkspaceRegression,Firefox 60.0,,2018-09-28 10:30:11,2018-09-28 10:30:30,18.789s,PASSED
openBrowser,Firefox 60.0,,2018-09-28 10:30:12,2018-09-28 10:30:17,5.551s,PASSED
navigateToUrl,Firefox 60.0,,2018-09-28 10:30:17,2018-09-28 10:30:23,5.940s,PASSED
click,Firefox 60.0,,2018-09-28 10:30:23,2018-09-28 10:30:25,1.921s,PASSED
click,Firefox 60.0,,2018-09-28 10:30:25,2018-09-28 10:30:26,1.051s,PASSED
click,Firefox 60.0,,2018-09-28 10:30:26,2018-09-28 10:30:27,0.687s,PASSED
click,Firefox 60.0,,2018-09-28 10:30:27,2018-09-28 10:30:28,1.338s,PASSED
click,Firefox 60.0,,2018-09-28 10:30:28,2018-09-28 10:30:29,0.456s,PASSED
setText,Firefox 60.0,,2018-09-28 10:30:29,2018-09-28 10:30:29,0.227s,PASSED
click,Firefox 60.0,,2018-09-28 10:30:29,2018-09-28 10:30:29,0.310s,PASSED
verifyElementPresent,Firefox 60.0,,2018-09-28 10:30:29,2018-09-28 10:30:29,0.181s,PASSED
closeBrowser,Firefox 60.0,,2018-09-28 10:30:29,2018-09-28 10:30:30,0.353s,PASSED
,,,,,,
Test Cases/SearchFunction,Firefox 60.0,,2018-09-28 10:30:30,2018-09-28 10:31:14,44.516s,FAILED
openBrowser,Firefox 60.0,,2018-09-28 10:30:30,2018-09-28 10:30:33,3.356s,PASSED
navigateToUrl,Firefox 60.0,,2018-09-28 10:30:33,2018-09-28 10:30:39,6.002s,PASSED
click,Firefox 60.0,,2018-09-28 10:30:39,2018-09-28 10:30:41,1.829s,PASSED
setText,Firefox 60.0,,2018-09-28 10:30:41,2018-09-28 10:30:42,0.521s,PASSED
click,Firefox 60.0,,2018-09-28 10:30:42,2018-09-28 10:31:14,32.528s,FAILED
